col1
"1939 National League Player Review
Hitting Statistics League Leaderboard"
Statistic,Name(s),Team(s),#,Top 25
Base on Balls,Dolph Camilli,Brooklyn,110,Top 25
Batting Average,Johnny Mize,St. Louis,.349,Top 25
Doubles,Enos Slaughter,St. Louis,52,Top 25
Hits,Frank McCormick,Cincinnati,209,Top 25
Home Runs,Johnny Mize,St. Louis,28,Top 25
On Base Percentage,Mel Ott,New York,.449,Top 25
RBI,Frank McCormick,Cincinnati,128,Top 25
Runs,Billy Werber,Cincinnati,115,Top 25
Slugging Average,Johnny Mize,St. Louis,.626,Top 25
Stolen Bases,Stan Hack,Chicago,17,Top 25
Lee Handley,Pittsburgh
Total Bases,Johnny Mize,St. Louis,353,Top 25
Triples,Billy Herman,Chicago,18,Top 25
Statistic,Name(s),Team(s),#,Top 25
