col1
"1952 National League Player Review
← 1952 | 1952 National League Hitting Statistics Leaders | 1953 →"
Statistic,Name(s),Team(s),#,Top 25
Base on Balls,Ralph Kiner,Pittsburgh,110,Top 25
Batting Average,Stan Musial,St. Louis,.336,Top 25
Doubles,Stan Musial,St. Louis,42,Top 25
Hits,Stan Musial,St. Louis,194,Top 25
Home Runs,Ralph Kiner,Pittsburgh,37,Top 25
Hank Sauer,Chicago
On Base Percentage,Jackie Robinson,Brooklyn,.440,Top 25
RBI,Hank Sauer,Chicago,121,Top 25
Runs,Solly Hemus,St. Louis,105,Top 25
Stan Musial,St. Louis
Slugging Average,Stan Musial,St. Louis,.538,Top 25
Stolen Bases,Pee Wee Reese,Brooklyn,30,Top 25
Total Bases,Stan Musial,St. Louis,311,Top 25
Triples,Bobby Thomson,New York,14,Top 25
Statistic,Name(s),Team(s),#,Top 25
1952 N.L. History | 1952 A.L. History | Year-by-Year History
