col1
"1882 American Association Player Review
1882 Hitting Statistics League Leaders | 1883 →"
Statistic,Name(s),Team(s),#,Top 25
Base on Balls,Jack Gleason,St. Louis,27,Top 25
Batting Average,Pete Browning,Louisville,.378,Top 25
Doubles,Mike Mansell,Pittsburgh,18,Top 25
Ed Swartwood,Pittsburgh
Hits,Hick Carpenter,Cincinnati,120,Top 25
Home Runs,Oscar Walker,St. Louis,7,Top 25
On Base Percentage,Pete Browning,Louisville,.430,Top 25
RBI,Data Not Kept,n/a,n/a,n/a
Runs,Ed Swartwood,Pittsburgh,86,Top 25
Slugging Average,Pete Browning,Louisville,.510,Top 25
Total Bases,Ed Swartwood,Pittsburgh,159,Top 25
Triples,Mike Mansell,Pittsburgh,16,Top 25
Statistic,Name(s),Team(s),#,Top 25
1882 A.L. History | 1882 N.L. History | Year-by-Year History
