col1
"1907 National League Player Review
← 1906 | 1907 Hitting Statistics League Leaders | 1908 →"
Statistic,Name(s),Team(s),#,Top 25
Base on Balls,Miller Huggins,Cincinnati,83,Top 25
Roy Thomas,Philadelphia
Batting Average,Honus Wagner,Pittsburgh,.350,Top 25
Doubles,Honus Wagner,Pittsburgh,38,Top 25
Hits,Ginger Beaumont,Boston,187,Top 25
Home Runs,Dave Brain,Boston,10,Top 25
On Base Percentage,Honus Wagner,Pittsburgh,.408,Top 25
RBI,Sherry Magee,Philadelphia,85,Top 25
Runs,Spike Shannon,New York,104,Top 25
Slugging Average,Honus Wagner,Pittsburgh,.513,Top 25
Stolen Bases,Honus Wagner,Pittsburgh,61,Top 25
Total Bases,Honus Wagner,Pittsburgh,264,Top 25
Triples,Whitey Alperman,Brooklyn,16,Top 25
John Ganzel,Cincinnati
Statistic,Name(s),Team(s),#,Top 25
1907 A.L. | A.L. Retirements | A.L. Rookies | Year-by-Year
