col1
"2006 National League Player Review
← 2005 | 2006 N.L. Hitting Statistics League Leaders | 2007 →"
Statistic,Name,Team,#,Top 25
Base on Balls,Barry Bonds,San Francisco,115,Top 25
Batting Average,Freddy Sanchez,Pittsburgh,.344,Top 25
Doubles,Freddy Sanchez,Pittsburgh,53,Top 25
Hits,Juan Pierre,Chicago,204,Top 25
Home Runs,Ryan Howard,Philadelphia,58,Top 25
On Base Percentage,Barry Bonds *,San Francisco,.454,Top 25
RBI,Ryan Howard,Philadelphia,149,Top 25
Runs,Chase Utley,Philadelphia,131,Top 25
Slugging Average,Albert Pujols,St. Louis,.671,Top 25
Stolen Bases,Jose Reyes,New York,64,Top 25
Total Bases,Ryan Howard,Philadelphia,383,Top 25
Triples,Jose Reyes,New York,17,Top 25
Statistic,Name,Team,#,Top 25
2006 A.L. | N.L. Retirements | N.L. Rookies | Year-by-Year
