col1
"1898 National League Player Review
← 1897 | 1898 Hitting Statistics League Leaders | 1899 →"
Statistic,Name(s),Team(s),#,Top 25
Base on Balls,John McGraw,Baltimore,112,Top 25
Batting Average,Willie Keeler,Baltimore,.385,Top 25
Doubles,Nap Lajoie,Philadelphia,43,Top 25
Hits,Willie Keeler,Baltimore,216,Top 25
Home Runs,Jimmy Collins,Boston,15,Top 25
On Base Percentage,Billy Hamilton,Boston,.480,Top 25
RBI,Nap Lajoie,Philadelphia,127,Top 25
Runs,John McGraw,Baltimore,143,Top 25
Slugging Average,John Anderson,Brooklyn,.494,Top 25
Washington
Brooklyn
Stolen Bases,Ed Delahanty,Philadelphia,58,Top 25
Total Bases,Jimmy Collins,Boston,286,Top 25
Triples,John Anderson,Brooklyn,22,Top 25
Washington
Brooklyn
Statistic,Name(s),Team(s),#,Top 25
1898 N.L. History | Year-by-Year History
