col1
"1947 National League Player Review
Hitting Statistics League Leaderboard"
Statistic,Name(s),Team(s),#,Top 25
Base on Balls,Hank Greenberg,Pittsburgh,104,Top 25
Pee Wee Reese,Brooklyn
Batting Average,Harry Walker,St. Louis,.363,Top 25
Philadelphia
Doubles,Eddie Miller,Cincinnati,38,Top 25
Hits,Tommy Holmes,Boston,191,Top 25
Home Runs,Ralph Kiner,Pittsburgh,51,Top 25
Johnny Mize,New York
On Base Percentage,Augie Galan,Cincinnati,.449,Top 25
RBI,Johnny Mize,New York,138,Top 25
Runs,Johnny Mize,New York,137,Top 25
Slugging Average,Ralph Kiner,Pittsburgh,.639,Top 25
Stolen Bases,Jackie Robinson,Brooklyn,29,Top 25
Total Bases,Ralph Kiner,Pittsburgh,361,Top 25
Triples,Harry Walker,St. Louis,16,Top 25
Philadelphia
Statistic,Name(s),Team(s),#,Top 25
