col1
"1954 National League Player Review
← 1953 | 1954 Hitting Statistics League Leaders | 1954 →"
Statistic,Name(s),Team(s),#,Top 25
Base on Balls,Richie Ashburn,Philadelphia,125,Top 25
Batting Average,Willie Mays,New York,.345,Top 25
Doubles,Stan Musial,St. Louis,41,Top 25
Hits,Don Mueller,New York,212,Top 25
Home Runs,Ted Kluszewski,Cincinnati,49,Top 25
On Base Percentage,Richie Ashburn,Philadelphia,.442,Top 25
RBI,Ted Kluszewski,Cincinnati,141,Top 25
Runs,Stan Musial,St. Louis,120,Top 25
Duke Snider,Brooklyn
Slugging Average,Willie Mays,New York,.667,Top 25
Stolen Bases,Bill Bruton,Milwaukee,34,Top 25
Total Bases,Duke Snider,Brooklyn,378,Top 25
Triples,Willie Mays,New York,13,Top 25
Statistic,Name(s),Team(s),#,Top 25
1954 N.L. History | 1954 A.L. History | Year-by-Year History
