col1
"2003 National League Player Review
Hitting Statistics League Leaderboard"
Statistic,Name,Team,#,Top 25
Base on Balls,Barry Bonds,San Francisco,148,Top 25
Batting Average,Albert Pujols,St. Louis,.359,Top 25
Doubles,Albert Pujols,St. Louis,51,Top 25
Hits,Albert Pujols,St. Louis,212,Top 25
Home Runs,Jim Thome,Philadelphia,47,Top 25
On Base Percentage,Barry Bonds,San Francisco,.529,Top 25
RBI,Preston Wilson,Colorado,141,Top 25
Runs,Albert Pujols,St. Louis,137,Top 25
Slugging Average,Barry Bonds,San Francisco,.749,Top 25
Stolen Bases,Juan Pierre,Florida,45,Top 25
Total Bases,Albert Pujols,St. Louis,394,Top 25
Triples,Steve Finley,Arizona,10,Top 25
Rafael Furcal,Atlanta
Statistic,Name,Team,#,Top 25
