col1
"1921 National League Player Review
← 1920 | 1921 Hitting Statistics League Leaders | 1922 →"
Statistic,Name(s),Team(s),#,Top 25
Base on Balls,George Burns,New York,80,Top 25
Batting Average,Rogers Hornsby,St. Louis,.397,Top 25
Doubles,Rogers Hornsby,St. Louis,44,Top 25
Hits,Rogers Hornsby,St. Louis,235,Top 25
Home Runs,George Kelly,New York,23,Top 25
On Base Percentage,Rogers Hornsby,St. Louis,.458,Top 25
RBI,Rogers Hornsby,St. Louis,126,Top 25
Runs,Rogers Hornsby,St. Louis,131,Top 25
Slugging Average,Rogers Hornsby,St. Louis,.639,Top 25
Stolen Bases,Frankie Frisch,New York,49,Top 25
Total Bases,Rogers Hornsby,St. Louis,378,Top 25
Triples,Rogers Hornsby,St. Louis,18,Top 25
Ray Powell,Boston
Statistic,Name(s),Team(s),#,Top 25
1921 A.L. | N.L. Retirements | N.L. Rookies | Year-by-Year
