col1
"1893 National League Player Review
← 1892 | 1893 Hitting Statistics League Leaders | 1894 →"
Statistic,Name(s),Team(s),#,Top 25
Base on Balls,Jack Crooks,St. Louis,121,Top 25
Batting Average,Hugh Duffy,Boston,.363,Top 25
Doubles,Sam Thompson,Philadelphia,37,Top 25
Hits,Sam Thompson,Philadelphia,222,Top 25
Home Runs,Ed Delahanty,Philadelphia,19,Top 25
On Base Percentage,Billy Hamilton,Philadelphia,.490,Top 25
RBI,Ed Delahanty,Philadelphia,146,Top 25
Runs,Herman Long,Boston,149,Top 25
Slugging Average,Ed Delahanty,Philadelphia,.583,Top 25
Stolen Bases,Tom Brown,Louisville,66,Top 25
Total Bases,Ed Delahanty,Philadelphia,347,Top 25
Triples,Perry Werden,St. Louis,29,Top 25
Statistic,Name(s),Team(s),#,Top 25
1893 N.L. History | Year-by-Year History
