col1
"2001 National League Player Review
Hitting Statistics League Leaderboard"
Statistic,Name,Team,#,Top 25
Base on Balls,Barry Bonds,San Francisco,177,Top 25
Batting Average,Larry Walker,Colorado,.350,Top 25
Doubles,Lance Berkman,Houston,55,Top 25
Hits,Rich Aurilia,San Francisco,206,Top 25
Home Runs,Barry Bonds,San Francisco,73,Top 25
On Base Percentage,Barry Bonds,San Francisco,.515,Top 25
RBI,Sammy Sosa,Chicago,160,Top 25
Runs,Sammy Sosa,Chicago,146,Top 25
Slugging Average,Barry Bonds,San Francisco,.863,Top 25
Stolen Bases,Juan Pierre,Colorado,46,Top 25
Jimmy Rollins,Philadelphia
Total Bases,Sammy Sosa,Chicago,425,Top 25
Triples,Jimmy Rollins,Philadelphia,12,Top 25
Statistic,Name,Team,#,Top 25
