col1
"1948 National League Player Review
Hitting Statistics League Leaderboard"
Statistic,Name(s),Team(s),#,Top 25
Base on Balls,Bob Elliott,Boston,131,Top 25
Batting Average,Stan Musial,St. Louis,.376,Top 25
Doubles,Stan Musial,St. Louis,46,Top 25
Hits,Stan Musial,St. Louis,230,Top 25
Home Runs,Ralph Kiner,Pittsburgh,40,Top 25
Johnny Mize,New York
On Base Percentage,Stan Musial,St. Louis,.450,Top 25
RBI,Stan Musial,St. Louis,131,Top 25
Runs,Stan Musial,St. Louis,135,Top 25
Slugging Average,Stan Musial,St. Louis,.702,Top 25
Stolen Bases,Richie Ashburn,Philadelphia,32,Top 25
Total Bases,Stan Musial,St. Louis,429,Top 25
Triples,Stan Musial,St. Louis,18,Top 25
Statistic,Name(s),Team(s),#,Top 25
