col1
"1981 National League Player Review
← 1980 | 1981 Hitting Statistics League Leaders | 1982 →"
Statistic,Name(s),Team(s),#,Top 25
Base on Balls,Mike Schmidt,Philadelphia,73,Top 25
Batting Average,Bill Madlock,Pittsburgh,.341,Top 25
Doubles,Bill Buckner,Chicago,35,Top 25
Hits,Pete Rose,Philadelphia,140,Top 25
Home Runs,Mike Schmidt,Philadelphia,31,Top 25
On Base Percentage,Mike Schmidt,Philadelphia,.439,Top 25
RBI,Mike Schmidt,Philadelphia,91,Top 25
Runs,Mike Schmidt,Philadelphia,78,Top 25
Slugging Average,Mike Schmidt,Philadelphia,.644,Top 25
Stolen Bases,Tim Raines,Montreal,71,Top 25
Total Bases,Mike Schmidt,Philadelphia,.228,Top 25
Triples,Craig Reynolds,Houston,12,Top 25
Gene Richards,San Diego
Statistic,Name(s),Team(s),#,Top 25
1981 N.L. History | 1981 A.L. History | Year-by-Year History
