col1
"1878 National League Player Review
← 1877 | 1878 Hitting Statistics League Leaders | 1879 →"
Statistic,Name(s),Team(s),#,Top 25
Base on Balls,Terry Larkin,Chicago,17,Top 25
Jack Remsen
Batting Average,Paul Hines,Providence,.358,Top 25
Doubles,Dick Higham,Providence,22,Top 25
Hits,Joe Start,Chicago,100,Top 25
Home Runs,Paul Hines,Providence,4,Top 25
On Base Percentage,Bob Ferguson,Chicago,.375,Top 25
RBI,Paul Hines,Providence,50,Top 25
Runs,Dick Higham,Providence,60,Top 25
Slugging Average,Paul Hines,Providence,.486,Top 25
Total Bases,Paul Hines,Providence,125,Top 25
Tom York,Providence
Joe Start,Chicago
Triples,Tom York,Providence,10,Top 25
Statistic,Name(s),Team(s),#,Top 25
1878 N.L. History | Year-by-Year History
