col1
"2016 National League Player Review
Hitting Statistics League Leaderboard"
Statistic,Name,Team,#,Top 25
Base on Balls,Paul Goldschmidt,Arizona,110,Top 25
Batting Average,DJ LeMahieu,Colorado,.348,Top 25
Doubles,Daniel Murphy,Washington,47,Top 25
Hits,Jean Segura,Arizona,203,Top 25
Home Runs,Nolan Arenado,Colorado,41,Top 25
Chris Carter,Milwaukee
On Base Percentage,Joey Votto,Cincinnati,.434,Top 25
RBI,Nolan Arenado,Colorado,133,Top 25
Runs,Kris Bryant,Chicago,121,Top 25
Slugging Average,Daniel Murphy,Washington,.595,Top 25
Stolen Bases,Jonathan Villar,Milwaukee,62,Top 25
Total Bases,Nolan Arenado,Colorado,352,Top 25
Triples,Brandon Crawford,San Francisco,11,Top 25
Cesar Hernandez,Philadelphia
Chris Owings,Arizona
Statistic,Name,Team,#,Top 25
