col1
"1894 National League Player Review
← 1893 | 1894 Hitting Statistics League Leaders | 1895 →"
Statistic,Name(s),Team(s),#,Top 25
Base on Balls,Billy Hamilton,Philadelphia,126,Top 25
Batting Average,Hugh Duffy,Boston,.440,Top 25
Doubles,Hugh Duffy,Boston,51,Top 25
Hits,Hugh Duffy,Boston,237,Top 25
Home Runs,Hugh Duffy,Boston,18,Top 25
On Base Percentage,Billy Hamilton,Philadelphia,.523,Top 25
RBI,Hugh Duffy,Boston,145,Top 25
Runs,Billy Hamilton,Philadelphia,192,Top 25
Slugging Average,Hugh Duffy,Boston,.694,Top 25
Stolen Bases,Billy Hamilton,Philadelphia,98,Top 25
Total Bases,Hugh Duffy,Boston,374,Top 25
Triples,Heinie Reitz,Baltimore,31,Top 25
Statistic,Name(s),Team(s),#,Top 25
1894 N.L. History | Year-by-Year History
