col1
"2015 National League Player Review
Hitting Statistics League Leaderboard"
Statistic,Name,Team,#,Top 25
Base on Balls,Joey Votto,Cincinnati,143,Top 25
Batting Average,Dee Gordon,Miami,.333,Top 25
Doubles,Matt Carpenter,St. Louis,44,Top 25
Hits,Dee Gordon,Miami,205,Top 25
Home Runs,Nolan Arenado,Colorado,42,Top 25
Bryce Harper,Washington
On Base Percentage,Bryce Harper,Washington,.460,Top 25
RBI,Nolan Arenado,Colorado,130,Top 25
Runs,Bryce Harper,Washington,118,Top 25
Slugging Average,Bryce Harper,Washington,.649,Top 25
Stolen Bases,Dee Gordon,Miami,58,Top 25
Total Bases,Nolan Arenado,Colorado,354,Top 25
Triples,David Peralta,Arizona,10,Top 25
Statistic,Name,Team,#,Top 25
