col1
"2013 National League Player Review
Hitting Statistics League Leaderboard"
Statistic,Name,Team,#,Top 25
Base on Balls,Joey Votto,Cincinnati,135,Top 25
Batting Average,Michael Cuddyer,Colorado,.331,Top 25
Doubles,Matt Carpenter,St. Louis,55,Top 25
Hits,Matt Carpenter,St. Louis,199,Top 25
Home Runs,Pedro Alvarez,Pittsburgh,36,Top 25
Paul Goldschmidt,Arizona
On Base Percentage,Joey Votto,Cincinnati,.435,Top 25
RBI,Paul Goldschmidt,Arizona,125,Top 25
Runs,Matt Carpenter,St. Louis,126,Top 25
Slugging Average,Paul Goldschmidt,Arizona,.552,Top 25
Stolen Bases,Eric Young,Colorado / New York,46,Top 25
Total Bases,Paul Goldschmidt,Arizona,332,Top 25
Triples,Denard Span,Washington,11,Top 25
Statistic,Name,Team,#,Top 25
