col1
"2011 National League Player Review
Hitting Statistics League Leaderboard"
Statistic,Name,Team,#,Top 25
Base on Balls,Joey Votto,Cincinnati,110,Top 25
Batting Average,Jose Reyes,New York,.337,Top 25
Doubles,Joey Votto,Cincinnati,40,Top 25
Hits,Starlin Castro,Chicago,207,Top 25
Home Runs,Matt Kemp,Los Angeles,39,Top 25
On Base Percentage,Joey Votto,Cincinnati,.416,Top 25
RBI,Matt Kemp,Los Angeles,126,Top 25
Runs,Matt Kemp,Los Angeles,115,Top 25
Slugging Average,Ryan Braun,Milwaukee,.597,Top 25
Stolen Bases,Michael Bourn,Houston / Atlanta,61,Top 25
Total Bases,Matt Kemp,Los Angeles,353,Top 25
Triples,Jose Reyes,New York,16,Top 25
Shane Victorino,Philadelphia
Statistic,Name,Team,#,Top 25
