col1
"2014 National League Player Review
Hitting Statistics League Leaderboard"
Statistic,Name,Team,#,Top 25
Base on Balls,Matt Carpenter,St. Louis,95,Top 25
Batting Average,Justin Morneau,Colorado,.319,Top 25
Doubles,Jonathan Lucroy,Milwaukee,53,Top 25
Hits,Ben Revere,Philadelphia,184,Top 25
Denard Span,Washington
Home Runs,Giancarlo Stanton,Miami,37,Top 25
On Base Percentage,Andrew McCutchen,Pittsburgh,.410,Top 25
RBI,Adrian Gonzalez,Los Angeles,116,Top 25
Runs,Anthony Rendon,Washington,111,Top 25
Slugging Average,Giancarlo Stanton,Miami,.555,Top 25
Stolen Bases,Dee Strange-Gordon,Los Angeles,64,Top 25
Total Bases,Giancarlo Stanton,Miami,299,Top 25
Triples,Dee Strange-Gordon,Los Angeles,12,Top 25
Statistic,Name,Team,#,Top 25
2014 N.L. History | 2014 A.L. History | Year-by-Year History
