col1
"1956 National League Player Review
← 1955 | 1956 Hitting Statistics League Leaders | 1957 →"
Statistic,Name(s),Team(s),#,Top 25
Base on Balls,Duke Snider,Brooklyn,99,Top 25
Batting Average,Hank Aaron,Milwaukee,.328,Top 25
Doubles,Hank Aaron,Milwaukee,34,Top 25
Hits,Hank Aaron,Milwaukee,200,Top 25
Home Runs,Duke Snider,Brooklyn,43,Top 25
On Base Percentage,Duke Snider,Brooklyn,.402,Top 25
RBI,Stan Musial,St. Louis,109,Top 25
Runs,Frank Robinson,Cincinnati,122,Top 25
Slugging Average,Duke Snider,Brooklyn,.598,Top 25
Stolen Bases,Willie Mays,New York,40,Top 25
Total Bases,Hank Aaron,Milwaukee,340,Top 25
Triples,Bill Bruton,Milwaukee,15,Top 25
Statistic,Name(s),Team(s),#,Top 25
1956 N.L. History | 1956 A.L. History | Year-by-Year History
