col1
"1999 National League Player Review
Hitting Statistics League Leaderboard"
Statistic,Name,Team,#,Top 25
Base on Balls,Jeff Bagwell,Houston,149,Top 25
Batting Average,Larry Walker,Colorado,.379,Top 25
Doubles,Craig Biggio,Houston,56,Top 25
Hits,Luis Gonzalez,Arizona,206,Top 25
Home Runs,Mark McGwire,St. Louis,65,Top 25
On Base Percentage,Larry Walker,Colorado,.458,Top 25
RBI,Mark McGwire,St. Louis,147,Top 25
Runs,Jeff Bagwell,Houston,143,Top 25
Slugging Average,Larry Walker,Colorado,.710,Top 25
Stolen Bases,Tony Womack,Arizona,72,Top 25
Total Bases,Sammy Sosa,Chicago,397,Top 25
Triples,Bobby Abreu,Philadelphia,11,Top 25
Neifi Perez,Colorado
Statistic,Name,Team,#,Top 25
