col1
"1992 National League Player Review
Hitting Statistics League Leaderboard"
Statistic,Name,Team,#,Top 25
Base on Balls,Barry Bonds,Pittsburgh,127,Top 25
Batting Average,Gary Sheffield,San Diego,.330,Top 25
Doubles,Andy Van Slyke,Pittsburgh,45,Top 25
Hits,Terry Pendleton,Atlanta,199,Top 25
Andy Van Slyke,Pittsburgh
Home Runs,Fred McGriff,San Diego,35,Top 25
On Base Percentage,Barry Bonds,Pittsburgh,.461,Top 25
RBI,Darren Daulton,Philadelphia,109,Top 25
Runs,Barry Bonds,Pittsburgh,109,Top 25
Slugging Average,Barry Bonds,Pittsburgh,.624,Top 25
Stolen Bases,Marquis Grissom,Montreal,78,Top 25
Total Bases,Gary Sheffield,San Diego,323,Top 25
Triples,Deion Sanders,Atlanta,14,Top 25
Statistic,Name,Team,#,Top 25
