col1
"1902 National League Player Review
← 1901 | 1902 Hitting Statistics League Leaders | 1903 →"
Statistic,Name(s),Team(s),#,Top 25
Base on Balls,Roy Thomas,Philadelphia,107,Top 25
Batting Average,Ginger Beaumont,Pittsburgh,.357,Top 25
Doubles,Honus Wagner,Pittsburgh,30,Top 25
Hits,Ginger Beaumont,Pittsburgh,193,Top 25
Home Runs,Tommy Leach,Pittsburgh,6,Top 25
On Base Percentage,Roy Thomas,Philadelphia,.414,Top 25
RBI,Honus Wagner,Pittsburgh,91,Top 25
Runs,Honus Wagner,Pittsburgh,105,Top 25
Slugging Average,Honus Wagner,Pittsburgh,.463,Top 25
Stolen Bases,Honus Wagner,Pittsburgh,42,Top 25
Total Bases,Sam Crawford,Cincinnati,256,Top 25
Triples,Sam Crawford,Cincinnati,22,Top 25
Tommy Leach,Pittsburgh
Statistic,Name(s),Team(s),#,Top 25
1902 N.L. History | 1902 A.L. History | Year-by-Year History
