col1
"2024 National League Player Review
← 2023 | 2024 Hitting Statistics League Leaders | 2025 →"
Statistic,Name,Team,#,Top 25
Base on Balls,Kyle Schwarber,Philadelphia,105,Top 25
Batting Average,Luis Arraez,Miami,.314,Top 25
San Diego
Doubles,Ezequiel Tovar,Colorado,45,Top 25
Hits,Luis Arraez,Miami,200,Top 25
San Diego
Home Runs,Shohei Ohtani,Los Angeles,54,Top 25
On Base Percentage,Shohei Ohtani,Los Angeles,.390,Top 25
RBI,Shohei Ohtani,Los Angeles,130,Top 25
Runs,Shohei Ohtani,Los Angeles,134,Top 25
Slugging Average,Shohei Ohtani,Los Angeles,.646,Top 25
Stolen Bases,Elly De La Cruz,Cincinnati,67,Top 25
Total Bases,Shohei Ohtani,Los Angeles,411,Top 25
Triples,Corbin Carroll,Arizona,14,Top 25
Statistic,Name,Team,#,Top 25
2024 N.L. History | 2024 A.L. History | Year-by-Year History
