col1
"1986 National League Player Review
Hitting Statistics League Leaderboard"
Statistic,Name(s),Team(s),#,Top 25
Base on Balls,Keith Hernandez,New York,94,Top 25
Batting Average,Tim Raines,Montreal,.334,Top 25
Doubles,Von Hayes,Philadelphia,46,Top 25
Hits,Tony Gwynn,San Diego,211,Top 25
Home Runs,Mike Schmidt,Philadelphia,37,Top 25
On Base Percentage,Tim Raines,Montreal,.415,Top 25
RBI,Mike Schmidt,Philadelphia,119,Top 25
Runs,Tony Gwynn,San Diego,107,Top 25
Von Hayes,Philadelphia
Slugging Average,Mike Schmidt,Philadelphia,.547,Top 25
Stolen Bases,Vince Coleman,St. Louis,107,Top 25
Total Bases,Dave Parker,Cincinnati,304,Top 25
Triples,Mitch Webster,Montreal,13,Top 25
Statistic,Name(s),Team(s),#,Top 25
