col1
"1968 National League Player Review
← 1967 | 1968 Hitting Statistics League Leaders | 1969 →"
Statistic,Name(s),Team(s),#,Top 25
Base on Balls,Ron Santo,Chicago,96,Top 25
Batting Average,Pete Rose,Cincinnati,335,Top 25
Doubles,Lou Brock,St. Louis,46,Top 25
Hits,Felipe Alou,Atlanta,210,Top 25
Pete Rose,Cincinnati
Home Runs,Willie McCovey,San Francisco,36,Top 25
On Base Percentage,Pete Rose,Cincinnati,.394,Top 25
RBI,Willie McCovey,San Francisco,105,Top 25
Runs,Glenn Beckert,Chicago,98,Top 25
Slugging Average,Willie McCovey,San Francisco,.545,Top 25
Stolen Bases,Lou Brock,St. Louis,62,Top 25
Total Bases,Billy Williams,Chicago,321,Top 25
Triples,Lou Brock,St. Louis,14,Top 25
Statistic,Name(s),Team(s),#,Top 25
1968 N.L. History | 1968 A.L. History | Year-by-Year History
