col1
"2009 National League Player Review
Hitting Statistics League Leaderboard"
Statistic,Name,Team,#,Top 25
Base on Balls,Adrian Gonzalez,San Diego,119,Top 25
Batting Average,Hanley Ramirez,Florida,.342,Top 25
Doubles,Miguel Tejada,Houston,46,Top 25
Hits,Ryan Braun,Milwaukee,203,Top 25
Home Runs,Albert Pujols,St. Louis,47,Top 25
On Base Percentage,Albert Pujols,St. Louis,.443,Top 25
RBI,Prince Fielder,Milwaukee,141,Top 25
Ryan Howard,Philadelphia
Runs,Albert Pujols,St. Louis,124,Top 25
Slugging Average,Albert Pujols,St. Louis,.658,Top 25
Stolen Bases,Michael Bourn,Houston,61,Top 25
Total Bases,Albert Pujols,St. Louis,374,Top 25
Triples,Shane Victorino,Philadelphia,13,Top 25
Statistic,Name,Team,#,Top 25
