col1
"1949 National League Player Review
Hitting Statistics League Leaderboard"
Statistic,Name(s),Team(s),#,Top 25
Base on Balls,Ralph Kiner,Pittsburgh,117,Top 25
Batting Average,Jackie Robinson,Brooklyn,.342,Top 25
Doubles,Stan Musial,St. Louis,41,Top 25
Hits,Stan Musial,St. Louis,207,Top 25
Home Runs,Ralph Kiner,Pittsburgh,54,Top 25
On Base Percentage,Stan Musial,St. Louis,.438,Top 25
RBI,Ralph Kiner,Pittsburgh,127,Top 25
Runs,Pee Wee Reese,Brooklyn,132,Top 25
Slugging Average,Ralph Kiner,Pittsburgh,.658,Top 25
Stolen Bases,Jackie Robinson,Brooklyn,37,Top 25
Total Bases,Stan Musial,St. Louis,382,Top 25
Triples,Stan Musial,St. Louis,13,Top 25
Enos Slaughter,St. Louis
Statistic,Name(s),Team(s),#,Top 25
