col1
"1965 National League Player Review
← 1964 | 1965 Hitting Statistics League Leaders | 1966 →"
Statistic,Name(s),Team(s),#,Top 25
Base on Balls,Joe Morgan,Houston,97,Top 25
Batting Average,Roberto Clemente,Pittsburgh,.329,Top 25
Doubles,Hank Aaron,Milwaukee,40,Top 25
Hits,Pete Rose,Cincinnati,209,Top 25
Home Runs,Willie Mays,San Francisco,52,Top 25
On Base Percentage,Willie Mays,San Francisco,.399,Top 25
RBI,Deron Johnson,Cincinnati,130,Top 25
Runs,Tommy Harper,Cincinnati,126,Top 25
Slugging Average,Willie Mays,San Francisco,.645,Top 25
Stolen Bases,Maury Wills,Los Angeles,94,Top 25
Total Bases,Willie Mays,San Francisco,360,Top 25
Triples,Johnny Callison,Philadelphia,16,Top 25
Statistic,Name(s),Team(s),#,Top 25
1965 N.L. History | 1965 A.L. History | Year-by-Year History
