col1
"1888 American Association Player Review
← 1887 | 1888 Hitting Statistics League Leaders | 1889 →"
Statistic,Name(s),Team(s),#,Top 25
Base on Balls,Yank Robinson,St. Louis,116,Top 25
Batting Average,Tip O'Neill,St. Louis,.335,Top 25
Doubles,Hub Collins,Louisville,31,Top 25
Brooklyn
Hits,Tip O'Neill,St. Louis,177,Top 25
Home Runs,John Reilly,Cincinnati,13,Top 25
On Base Percentage,Yank Robinson,St. Louis,.400,Top 25
RBI,John Reilly,Cincinnati,103,Top 25
Runs,George Pinkney,Brooklyn,134,Top 25
Slugging Average,John Reilly,Cincinnati,.501,Top 25
Total Bases,John Reilly,Cincinnati,264,Top 25
Triples,Harry Stovey,Philadelphia,20,Top 25
Statistic,Name(s),Team(s),#,Top 25
1888 A.A. History | Year-by-Year History
