col1
"1995 National League Player Review
Hitting Statistics League Leaderboard"
Statistic,Name,Team,#,Top 25
Base on Balls,Barry Bonds,San Francisco,120,Top 25
Batting Average,Tony Gwynn,San Diego,.368,Top 25
Doubles,Mark Grace,Chicago,51,Top 25
Hits,Dante Bichette,Colorado,197,Top 25
Tony Gwynn,San Diego
Home Runs,Dante Bichette,Colorado,40,Top 25
On Base Percentage,Barry Bonds,San Francisco,.434,Top 25
RBI,Dante Bichette,Colorado,128,Top 25
Runs,Craig Biggio,Houston,123,Top 25
Slugging Average,Dante Bichette,Colorado,.620,Top 25
Stolen Bases,Quilvio Veras,Florida,56,Top 25
Total Bases,Dante Bichette,Colorado,359,Top 25
Triples,Brett Butler,New York,9,Top 25
Los Angeles
Eric Young,Colorado
Statistic,Name,Team,#,Top 25
