col1
"1933 National League Player Review
Hitting Statistics League Leaderboard"
Statistic,Name(s),Team(s),#,Top 25
Base on Balls,Mel Ott,New York,75,Top 25
Batting Average,Chuck Klein,Philadelphia,.368,Top 25
Doubles,Chuck Klein,Philadelphia,44,Top 25
Hits,Chuck Klein,Philadelphia,223,Top 25
Home Runs,Chuck Klein,Philadelphia,28,Top 25
On Base Percentage,Chuck Klein,Philadelphia,.422,Top 25
RBI,Chuck Klein,Philadelphia,120,Top 25
Runs,Pepper Martin,St. Louis,122,Top 25
Slugging Average,Chuck Klein,Philadelphia,.602,Top 25
Stolen Bases,Pepper Martin,St. Louis,26,Top 25
Total Bases,Chuck Klein,Philadelphia,365,Top 25
Triples,Arky Vaughan,Pittsburgh,19,Top 25
Statistic,Name(s),Team(s),#,Top 25
