col1
"1966 National League Player Review
← 1965 | 1966 Hitting Statistics League Leaders | 1967 →"
Statistic,Name(s),Team(s),#,Top 25
Base on Balls,Ron Santo,Chicago,95,Top 25
Batting Average,Matty Alou,Pittsburgh,.342,Top 25
Doubles,Johnny Callison,Philadelphia,40,Top 25
Hits,Felipe Alou,Atlanta,218,Top 25
Home Runs,Hank Aaron,Atlanta,44,Top 25
On Base Percentage,Ron Santo,Chicago,.417,Top 25
RBI,Hank Aaron,Atlanta,127,Top 25
Runs,Felipe Alou,Atlanta,122,Top 25
Slugging Average,Dick Allen,Philadelphia,.632,Top 25
Stolen Bases,Lou Brock,St. Louis,74,Top 25
Total Bases,Felipe Alou,Atlanta,355,Top 25
Triples,Tim McCarver,St. Louis,13,Top 25
Statistic,Name(s),Team(s),#,Top 25
1966 N.L. History | 1966 A.L. History | Year-by-Year History
