col1
"1942 National League Player Review
Hitting Statistics League Leaderboard"
Statistic,Name(s),Team(s),#,Top 25
Base on Balls,Mel Ott,New York,109,Top 25
Batting Average,Ernie Lombardi *,Boston,.330,Top 25
Doubles,Marty Marion,St. Louis,38,Top 25
Hits,Enos Slaughter,St. Louis,188,Top 25
Home Runs,Mel Ott,New York,30,Top 25
On Base Percentage,Elbie Fletcher,Pittsburgh,.417,Top 25
RBI,Johnny Mize,New York,110,Top 25
Runs,Mel Ott,New York,118,Top 25
Slugging Average,Johnny Mize,New York,.521,Top 25
Stolen Bases,Pete Reiser,Brooklyn,20,Top 25
Total Bases,Enos Slaughter,St. Louis,292,Top 25
Triples,Enos Slaughter,St. Louis,17,Top 25
Statistic,Name(s),Team(s),#,Top 25
* Batting Title Awarded Due to 100 Games Played
