col1
"1985 National League Player Review
← 1984 | 1985 Hitting Statistics League Leaders | 1986 →"
Statistic,Name(s),Team(s),#,Top 25
Base on Balls,Dale Murphy,Atlanta,90,Top 25
Batting Average,Willie McGee,St. Louis,.353,Top 25
Doubles,Dave Parker,Cincinnati,42,Top 25
Hits,Willie McGee,St. Louis,216,Top 25
Home Runs,Dale Murphy,Atlanta,37,Top 25
On Base Percentage,Pedro Guerrero,Los Angeles,.425,Top 25
RBI,Dave Parker,Cincinnati,125,Top 25
Runs,Dale Murphy,Atlanta,118,Top 25
Slugging Average,Pedro Guerrero,Los Angeles,.577,Top 25
Stolen Bases,Vince Coleman,St. Louis,110,Top 25
Total Bases,Dave Parker,Cincinnati,350,Top 25
Triples,Willie McGee,St. Louis,18,Top 25
Statistic,Name(s),Team(s),#,Top 25
1985 N.L. History | 1985 A.L. History | Year-by-Year History
