col1
"1996 National League Player Review
Hitting Statistics League Leaderboard"
Statistic,Name,Team,#,Top 25
Base on Balls,Barry Bonds,San Francisco,151,Top 25
Batting Average,Tony Gwynn,San Diego,.353,Top 25
Doubles,Jeff Bagwell,Houston,48,Top 25
Hits,Lance Johnson,New York,227,Top 25
Home Runs,Andres Galarraga,Colorado,47,Top 25
On Base Percentage,Gary Sheffield,Florida,.469,Top 25
RBI,Andres Galarraga,Colorado,150,Top 25
Runs,Ellis Burks,Colorado,142,Top 25
Slugging Average,Ellis Burks,Colorado,.639,Top 25
Stolen Bases,Eric Young,Colorado,53,Top 25
Total Bases,Ellis Burks,Colorado,392,Top 25
Triples,Lance Johnson,New York,21,Top 25
Statistic,Name,Team,#,Top 25
