col1
"1988 National League Player Review
Hitting Statistics League Leaderboard"
Statistic,Name(s),Team(s),#,Top 25
Base on Balls,Will Clark,San Francisco,100,Top 25
Batting Average,Tony Gwynn,San Diego,.313,Top 25
Doubles,Andres Galarraga,Montreal,42,Top 25
Hits,Andres Galarraga,Montreal,184,Top 25
Home Runs,Darryl Strawberry,New York,39,Top 25
On Base Percentage,Kal Daniels,Cincinnati,.400,Top 25
RBI,Will Clark,San Francisco,109,Top 25
Runs,Brett Butler,San Francisco,109,Top 25
Slugging Average,Darryl Strawberry,New York,.545,Top 25
Stolen Bases,Vince Coleman,St. Louis,81,Top 25
Total Bases,Andres Galarraga,Montreal,329,Top 25
Triples,Andy Van Slyke,Pittsburgh,15,Top 25
Statistic,Name(s),Team(s),#,Top 25
