col1
"1997 National League Player Review
Hitting Statistics League Leaderboard"
Statistic,Name,Team,#,Top 25
Base on Balls,Barry Bonds,San Francisco,145,Top 25
Batting Average,Tony Gwynn,San Diego,.372,Top 25
Doubles,Mark Grudzielanek,Montreal,54,Top 25
Hits,Tony Gwynn,San Diego,220,Top 25
Home Runs,Larry Walker,Colorado,49,Top 25
On Base Percentage,Larry Walker,Colorado,.455,Top 25
RBI,Andres Galarraga,Colorado,140,Top 25
Runs,Craig Biggio,Houston,146,Top 25
Slugging Average,Larry Walker,Colorado,.720,Top 25
Stolen Bases,Tony Womack,Pittsburgh,60,Top 25
Total Bases,Larry Walker,Colorado,409,Top 25
Triples,Delino DeShields,St. Louis,14,Top 25
Statistic,Name,Team,#,Top 25
