col1
"1884 American Association Player Review
← 1883 | 1884 Hitting Statistics League Leaders | 1885 →"
Statistic,Name(s),Team(s),#,Top 25
Base on Balls,Candy Nelson,New York,74,Top 25
Batting Average,Dave Orr,New York,.354,Top 25
Doubles,Sam Barkley,Toledo,39,Top 25
Hits,Dave Orr,New York,162,Top 25
Home Runs,John Reilly,Cincinnati,11,Top 25
On Base Percentage,Charley Jones,Cincinnati,.376,Top 25
RBI,Data Not Kept,n/a,n/a,n/a
Runs,Harry Stovey,Philadelphia,124,Top 25
Slugging Average,John Reilly,Cincinnati,.551,Top 25
Total Bases,Dave Orr,New York,247,Top 25
John Reilly,Cincinnati
Triples,Harry Stovey,Philadelphia,23,Top 25
Statistic,Name(s),Team(s),#,Top 25
1884 A.A. History | 1884 N.L. History | Year-by-Year History
