col1
"1934 National League Player Review
Hitting Statistics League Leaderboard"
Statistic,Name(s),Team(s),#,Top 25
Base on Balls,Arky Vaughan,Pittsburgh,94,Top 25
Batting Average,Paul Waner,Pittsburgh,.362,Top 25
Doubles,Kiki Cuyler,Chicago,42,Top 25
Ethan Allen,Philadelphia
Hits,Paul Waner,Pittsburgh,217,Top 25
Home Runs,Mel Ott,New York,35,Top 25
Ripper Collins,St. Louis
On Base Percentage,Arky Vaughan,Pittsburgh,.431,Top 25
RBI,Mel Ott,New York,135,Top 25
Runs,Paul Waner,Pittsburgh,122,Top 25
Slugging Average,Ripper Collins,St. Louis,.615,Top 25
Stolen Bases,Pepper Martin,St. Louis,23,Top 25
Total Bases,Ripper Collins,St. Louis,369,Top 25
Triples,Joe Medwick,St. Louis,18,Top 25
Statistic,Name(s),Team(s),#,Top 25
