col1
"1960 National League Player Review
← 1959 | 1960 Hitting Statistics League Leaders | 1961 →"
Statistic,Name(s),Team(s),#,Top 25
Base on Balls,Richie Ashburn,Chicago,116,Top 25
Batting Average,Dick Groat,Pittsburgh,.325,Top 25
Doubles,Vada Pinson,Cincinnati,37,Top 25
Hits,Willie Mays,San Francisco,190,Top 25
Home Runs,Ernie Banks,Chicago,41,Top 25
On Base Percentage,Richie Ashburn,Chicago,.416,Top 25
RBI,Hank Aaron,Milwaukee,126,Top 25
Runs,Bill Bruton,Milwaukee,112,Top 25
Slugging Average,Frank Robinson,Cincinnati,.595,Top 25
Stolen Bases,Maury Wills,Los Angeles,50,Top 25
Total Bases,Hank Aaron,Milwaukee,334,Top 25
Triples,Bill Bruton,Milwaukee,13,Top 25
Statistic,Name(s),Team(s),#,Top 25
1960 N.L. History | 1960 A.L. History | Year-by-Year History
