col1
"2007 National League Player Review
← 2006 | 2007 N.L. Hitting Statistics League Leaders | 2008 →"
Statistic,Name,Team,#,Top 25
Base on Balls,Barry Bonds,San Francisco,132,Top 25
Batting Average,Matt Holliday,Colorado,.340,Top 25
Doubles,Matt Holliday,Colorado,50,Top 25
Hits,Matt Holliday,Colorado,216,Top 25
Home Runs,Prince Fielder,Milwaukee,50,Top 25
On Base Percentage,Todd Helton,Colorado,.434,Top 25
RBI,Matt Holliday,Colorado,137,Top 25
Runs,Jimmy Rollins,Philadelphia,139,Top 25
Slugging Average,Prince Fielder,Milwaukee,.618,Top 25
Stolen Bases,Jose Reyes,New York,78,Top 25
Total Bases,Matt Holliday,Colorado,386,Top 25
Triples,Jimmy Rollins,Philadelphia,20,Top 25
Statistic,Name,Team,#,Top 25
2007 A.L. | N.L. Retirements | N.L. Rookies | Year-by-Year
