col1
"1936 National League Player Review
← 1935 | 1936 Hitting Statistics League Leaders | 1937 →"
Statistic,Name(s),Team(s),#,Top 25
Base on Balls,Arky Vaughan,Pittsburgh,118,Top 25
Batting Average,Paul Waner,Pittsburgh,.373,Top 25
Doubles,Joe Medwick,St. Louis,64,Top 25
Hits,Joe Medwick,St. Louis,223,Top 25
Home Runs,Mel Ott,New York,33,Top 25
On Base Percentage,Arky Vaughan,Pittsburgh,.453,Top 25
RBI,Joe Medwick,St. Louis,138,Top 25
Runs,Arky Vaughan,Pittsburgh,122,Top 25
Slugging Average,Mel Ott,New York,.488,Top 25
Stolen Bases,Pepper Martin,St. Louis,23,Top 25
Total Bases,Joe Medwick,St. Louis,367,Top 25
Triples,Ival Goodman,Cincinnati,14,Top 25
Statistic,Name(s),Team(s),#,Top 25
1936 N.L. History | 1936 A.L. History | Year-by-Year History
