col1
"1931 National League Player Review
Hitting Statistics League Leaderboard"
Statistic,Name(s),Team(s),#,Top 25
Base on Balls,Mel Ott,New York,80,Top 25
Batting Average,Chick Hafey,St. Louis,.349,Top 25
Doubles,Sparky Adams,St. Louis,46,Top 25
Hits,Lloyd Waner,Pittsburgh,214,Top 25
Home Runs,Chuck Klein,Philadelphia,31,Top 25
On Base Percentage,Chick Hafey,St. Louis,.404,Top 25
RBI,Chuck Klein,Philadelphia,121,Top 25
Runs,Chuck Klein,Philadelphia,121,Top 25
Bill Terry,New York
Slugging Average,Chuck Klein,Philadelphia,.584,Top 25
Stolen Bases,Frankie Frisch,St. Louis,28,Top 25
Total Bases,Chuck Klein,Philadelphia,347,Top 25
Triples,Bill Terry,New York,20,Top 25
Statistic,Name(s),Team(s),#,Top 25
