col1
"1969 National League Player Review
← 1968 | 1969 Hitting Statistics League Leaders | 1970 →"
Statistic,Name(s),Team(s),#,Top 25
Base on Balls,Jimmy Wynn,Houston,148,Top 25
Batting Average,Pete Rose,Cincinnati,.348,Top 25
Doubles,Matty Alou,Pittsburgh,41,Top 25
Hits,Matty Alou,Pittsburgh,231,Top 25
Home Runs,Willie McCovey,San Francisco,45,Top 25
On Base Percentage,Willie McCovey,San Francisco,.458,Top 25
RBI,Willie McCovey,San Francisco,126,Top 25
Runs,Bobby Bonds,San Francisco,120,Top 25
Pete Rose,Cincinnati
Slugging Average,Willie McCovey,San Francisco,.656,Top 25
Stolen Bases,Lou Brock,St. Louis,53,Top 25
Total Bases,Hank Aaron,Atlanta,332,Top 25
Triples,Roberto Clemente,Pittsburgh,12,Top 25
Statistic,Name(s),Team(s),#,Top 25
1969 N.L. History | 1969 A.L. History | Year-by-Year History
