col1
"1998 National League Player Review
Hitting Statistics League Leaderboard"
Statistic,Name,Team,#,Top 25
Base on Balls,Mark McGwire,St. Louis,162,Top 25
Batting Average,Larry Walker,Colorado,.363,Top 25
Doubles,Craig Biggio,Houston,51,Top 25
Hits,Dante Bichette,Colorado,219,Top 25
Home Runs,Mark McGwire,St. Louis,70,Top 25
On Base Percentage,Mark McGwire,St. Louis,.473,Top 25
RBI,Sammy Sosa,Chicago,158,Top 25
Runs,Sammy Sosa,Chicago,134,Top 25
Slugging Average,Mark McGwire,St. Louis,.752,Top 25
Stolen Bases,Tony Womack,Pittsburgh,58,Top 25
Total Bases,Sammy Sosa,Chicago,416,Top 25
Triples,David Dellucci,Arizona,12,Top 25
Statistic,Name,Team,#,Top 25
