col1
"2010 National League Player Review
Hitting Statistics League Leaderboard"
Statistic,Name,Team,#,Top 25
Base on Balls,Prince Fielder,Milwaukee,114,Top 25
Batting Average,Carlos Gonzalez,Colorado,.336,Top 25
Doubles,Jayson Werth,Philadelphia,46,Top 25
Hits,Carlos Gonzalez,Colorado,197,Top 25
Home Runs,Albert Pujols,St. Louis,42,Top 25
On Base Percentage,Joey Votto,Cincinnati,.424,Top 25
RBI,Albert Pujols,St. Louis,118,Top 25
Runs,Albert Pujols,St. Louis,115,Top 25
Slugging Average,Joey Votto,Cincinnati,.600,Top 25
Stolen Bases,Michael Bourn,Houston,52,Top 25
Total Bases,Carlos Gonzalez,Colorado,351,Top 25
Triples,Dexter Fowler,Colorado,14,Top 25
Statistic,Name,Team,#,Top 25
