col1
"1905 National League Player Review
Hitting Statistics League Leaderboard"
Statistic,Name(s),Team(s),#,Top 25
Base on Balls,Miller Huggins,Cincinnati,103,Top 25
Batting Average,Cy Seymour,Cincinnati,.377,Top 25
Doubles,Cy Seymour,Cincinnati,40,Top 25
Hits,Cy Seymour,Cincinnati,219,Top 25
Home Runs,Fred Odwell,Cincinnati,9,Top 25
On Base Percentage,Frank Chance,Chicago,.450,Top 25
RBI,Cy Seymour,Cincinnati,121,Top 25
Runs,Mike Donlin,New York,124,Top 25
Slugging Average,Cy Seymour,Cincinnati,.325,Top 25
Stolen Bases,Art Devlin,New York,59,Top 25
Billy Maloney,Chicago
Total Bases,Cy Seymour,Cincinnati,325,Top 25
Triples,Cy Seymour,Cincinnati,21,Top 25
Statistic,Name(s),Team(s),#,Top 25
