col1
"1908 National League Player Review
← 1907 | 1908 Hitting Statistics League Leaders | 1909 →"
Statistic,Name(s),Team(s),#,Top 25
Base on Balls,Roger Bresnahan,New York,83,Top 25
Batting Average,Honus Wagner,Pittsburgh,.354,Top 25
Doubles,Honus Wagner,Pittsburgh,39,Top 25
Hits,Honus Wagner,Pittsburgh,201,Top 25
Home Runs,Tim Jordan,Brooklyn,12,Top 25
On Base Percentage,Honus Wagner,Pittsburgh,.415,Top 25
RBI,Honus Wagner,Pittsburgh,109,Top 25
Runs,Fred Tenney,New York,101,Top 25
Slugging Average,Honus Wagner,Pittsburgh,.542,Top 25
Stolen Bases,Honus Wagner,Pittsburgh,53,Top 25
Total Bases,Honus Wagner,Pittsburgh,308,Top 25
Triples,Honus Wagner,Pittsburgh,19,Top 25
Statistic,Name(s),Team(s),#,Top 25
1908 A.L. | N.L. Retirements | N.L. Rookies | Year-by-Year
