col1
"1901 National League Player Review
← 1900 | 1901 Hitting Statistics League Leaders | 1902 →"
Statistic,Name(s),Team(s),#,Top 25
Base on Balls,Roy Thomas,Philadelphia,100,Top 25
Batting Average,Jesse Burkett,St. Louis,.376,Top 25
Doubles,Tom Daly,Brooklyn,38,Top 25
Ed Delahanty,Philadelphia
Hits,Jesse Burkett,St. Louis,226,Top 25
Home Runs,Sam Crawford,Cincinnati,16,Top 25
On Base Percentage,Jesse Burkett,St. Louis,.440,Top 25
RBI,Honus Wagner,Pittsburgh,126,Top 25
Runs,Jesse Burkett,St. Louis,142,Top 25
Slugging Average,Jimmy Sheckard,Brooklyn,.534,Top 25
Stolen Bases,Honus Wagner,Pittsburgh,49,Top 25
Total Bases,Jesse Burkett,St. Louis,306,Top 25
Triples,Jimmy Sheckard,Brooklyn,19,Top 25
Statistic,Name(s),Team(s),#,Top 25
1901 N.L. History | 1901 A.L. History | Year-by-Year History
