col1
"1930 National League Player Review
← 1929 | 1930 Hitting Statistics League Leaders | 1931 →"
Statistic,Name(s),Team(s),#,Top 25
Base on Balls,Hack Wilson,Chicago,105,Top 25
Batting Average,Bill Terry,New York,.401,Top 25
Doubles,Chuck Klein,Philadelphia,59,Top 25
Hits,Bill Terry,New York,254,Top 25
Home Runs,Hack Wilson,Chicago,56,Top 25
On Base Percentage,Mel Ott,New York,.458,Top 25
RBI,Hack Wilson,Chicago,191,Top 25
Runs,Chuck Klein,Philadelphia,158,Top 25
Slugging Average,Hack Wilson,Chicago,.723,Top 25
Stolen Bases,Kiki Cuyler,Chicago,37,Top 25
Total Bases,Chuck Klein,Philadelphia,445,Top 25
Triples,Adam Comorosky,Pittsburgh,23,Top 25
Statistic,Name(s),Team(s),#,Top 25
1930N.L. History | 1930 A.L. History | Year-by-Year History
