col1
"1885 American Association Player Review
← 1884 | 1885 Hitting Statistics League Leaders | 1886 →"
Statistic,Name(s),Team(s),#,Top 25
Base on Balls,Candy Nelson,New York,61,Top 25
Batting Average,Pete Browning,Louisville,.362,Top 25
Doubles,Henry Larkin,Philadelphia,37,Top 25
Hits,Pete Browning,Louisville,174,Top 25
Home Runs,Harry Stovey,Philadelphia,13,Top 25
On Base Percentage,Pete Browning,Louisville,.393,Top 25
RBI,Frank Fennelly,Cincinnati,89,Top 25
Runs,Harry Stovey,Philadelphia,130,Top 25
Slugging Average,Dave Orr,New York,.543,Top 25
Total Bases,Pete Browning,Louisville,25,Top 25
Triples,Dave Orr,New York,21,Top 25
Statistic,Name(s),Team(s),#,Top 25
1885 A.A. History | 1885 N.L. History | Year-by-Year History
