col1
"1881 National League Player Review
← 1880 | 1881 Hitting Statistics League Leaders | 1882 →"
Statistic,Name(s),Team(s),#,Top 25
Base on Balls,John Clapp,Cleveland,35,Top 25
Batting Average,Cap Anson,Chicago,.399,Top 25
Doubles,Paul Hines,Providence,27,Top 25
King Kelly,Chicago
Hits,Cap Anson,Chicago,137,Top 25
Home Runs,Dan Brouthers,Buffalo,8,Top 25
On Base Percentage,Cap Anson,Chicago,.442,Top 25
RBI,Cap Anson,Chicago,82,Top 25
Runs,George Gore,Chicago,86,Top 25
Slugging Average,Dan Brouthers,Buffalo,.541,Top 25
Total Bases,Cap Anson,Chicago,175,Top 25
Triples,Jack Rowe,Buffalo,11,Top 25
Statistic,Name(s),Team(s),#,Top 25
1881 N.L. History | Year-by-Year History
