col1
"1940 National League Player Review
Hitting Statistics League Leaderboard"
Statistic,Name(s),Team(s),#,Top 25
Base on Balls,Elbie Fletcher,Pittsburgh,119,Top 25
Batting Average,Stan Hack,Chicago,.317,Top 25
Doubles,Frank McCormick,Cincinnati,44,Top 25
Hits,Stan Hack,Chicago,191,Top 25
Frank McCormick,Cincinnati
Home Runs,Johnny Mize,St. Louis,43,Top 25
On Base Percentage,Elbie Fletcher,Pittsburgh,.418,Top 25
RBI,Johnny Mize,St. Louis,137,Top 25
Runs,Arky Vaughan,Pittsburgh,113,Top 25
Slugging Average,Johnny Mize,St. Louis,.636,Top 25
Stolen Bases,Lonny Frey,Cincinnati,22,Top 25
Total Bases,Johnny Mize,St. Louis,368,Top 25
Triples,Arky Vaughan,Pittsburgh,15,Top 25
Statistic,Name(s),Team(s),#,Top 25
