col1
"1896 National League Player Review
← 1895 | 1896 Hitting Statistics League Leaders | 1897 →"
Statistic,Name(s),Team(s),#,Top 25
Base on Balls,Billy Hamilton,Boston,110,Top 25
Batting Average,Jesse Burkett,Cleveland,.410,Top 25
Doubles,Ed Delahanty,Philadelphia,44,Top 25
Hits,Jesse Burkett,Cleveland,240,Top 25
Home Runs,Ed Delahanty,Philadelphia,13,Top 25
Bill Joyce,Washington
New York
On Base Percentage,Billy Hamilton,Boston,.478,Top 25
RBI,Ed Delahanty,Philadelphia,126,Top 25
Runs,Jesse Burkett,Cleveland,160,Top 25
Slugging Average,Ed Delahanty,Philadelphia,.631,Top 25
Stolen Bases,Joe Kelley,Baltimore,87,Top 25
Total Bases,Jesse Burkett,Cleveland,317,Top 25
Triples,Tom McCreery,Louisville,21,Top 25
George Van Haltren,New York
Statistic,Name(s),Team(s),#,Top 25
1896 N.L. History | Year-by-Year History
