col1
"2004 National League Player Review
Hitting Statistics League Leaderboard"
Statistic,Name,Team,#,Top 25
Base on Balls,Barry Bonds,San Francisco,232,Top 25
Batting Average,Barry Bonds,San Francisco,.362,Top 25
Doubles,Lyle Overbay,Milwaukee,53,Top 25
Hits,Juan Pierre,Florida,221,Top 25
Home Runs,Adrian Beltre,Los Angeles,48,Top 25
On Base Percentage,Barry Bonds,San Francisco,.609,Top 25
RBI,Vinny Castilla,Colorado,131,Top 25
Runs,Albert Pujols,St. Louis,133,Top 25
Slugging Average,Barry Bonds,San Francisco,.812,Top 25
Stolen Bases,Scott Podsednik,Milwaukee,70,Top 25
Total Bases,Albert Pujols,St. Louis,389,Top 25
Triples,Juan Pierre,Florida,12,Top 25
Jimmy Rollins,Philadelphia
Jack Wilson,Pittsburgh
Statistic,Name,Team,#,Top 25
