col1
"1963 National League Player Review
← 1962 | 1963 Hitting Statistics League Leaders | 1964 →"
Statistic,Name(s),Team(s),#,Top 25
Base on Balls,Eddie Mathews,Milwaukee,124,Top 25
Batting Average,Tommy Davis,Los Angeles,.326,Top 25
Doubles,Dick Groat,St. Louis,43,Top 25
Hits,Vada Pinson,Cincinnati,204,Top 25
Home Runs,Hank Aaron,Milwaukee,44,Top 25
Willie McCovey,San Francisco
On Base Percentage,Eddie Mathews,Milwaukee,.400,Top 25
RBI,Hank Aaron,Milwaukee,130,Top 25
Runs,Hank Aaron,Milwaukee,121,Top 25
Slugging Average,Hank Aaron,Milwaukee,.586,Top 25
Stolen Bases,Maury Wills,Los Angeles,40,Top 25
Total Bases,Hank Aaron,Milwaukee,370,Top 25
Triples,Vada Pinson,Cincinnati,14,Top 25
Statistic,Name(s),Team(s),#,Top 25
1963 N.L. History | 1963 A.L. History | Year-by-Year History
