col1
"1890 American Association Player Review
Hitting Statistics League Leaderboard"
Statistic,Name(s),Team(s),#,Top 25
Base on Balls,Jim McTamany,Columbus,112,Top 25
Batting Average,Jimmy Wolf,Louisville,.363,Top 25
Doubles,Cupid Childs,Syracuse,33,Top 25
Hits,Jimmy Wolf,Louisville,197,Top 25
Home Runs,Count Campau,St. Louis,9,Top 25
On Base Percentage,Denny Lyons,Philadelphia,.461,Top 25
RBI,Spud Johnson,Columbus,113,Top 25
Runs,Jim McTamany,Columbus,140,Top 25
Slugging Average,Denny Lyons,Philadelphia,.531,Top 25
Total Bases,Jimmy Wolf,Louisville,260,Top 25
Triples,Perry Werden,Toledo,20,Top 25
Statistic,Name(s),Team(s),#,Top 25
