col1
"1987 National League Player Review
Hitting Statistics League Leaderboard"
Statistic,Name(s),Team(s),#,Top 25
Base on Balls,Jack Clark,St. Louis,136,Top 25
Batting Average,Tony Gwynn,San Diego,.370,Top 25
Doubles,Tim Wallach,Montreal,42,Top 25
Hits,Tony Gwynn,San Diego,218,Top 25
Home Runs,Andre Dawson,Chicago,49,Top 25
On Base Percentage,Jack Clark,St. Louis,.461,Top 25
RBI,Andre Dawson,Chicago,137,Top 25
Runs,Tim Raines,Montreal,123,Top 25
Slugging Average,Jack Clark,St. Louis,.597,Top 25
Stolen Bases,Vince Coleman,St. Louis,109,Top 25
Total Bases,Andre Dawson,Chicago,353,Top 25
Triples,Juan Samuel,Philadelphia,15,Top 25
Statistic,Name(s),Team(s),#,Top 25
