col1
"1937 National League Player Review
Hitting Statistics League Leaderboard"
Statistic,Name(s),Team(s),#,Top 25
Base on Balls,Mel Ott,New York,102,Top 25
Batting Average,Joe Medwick,St. Louis,.374,Top 25
Doubles,Joe Medwick,St. Louis,56,Top 25
Hits,Joe Medwick,St. Louis,237,Top 25
Home Runs,Joe Medwick,St. Louis,31,Top 25
On Base Percentage,Mel Ott,New York,.442,Top 25
Joe Medwick,St. Louis
RBI,Joe Medwick,St. Louis,154,Top 25
Runs,Joe Medwick,St. Louis,111,Top 25
Slugging Average,Joe Medwick,St. Louis,.641,Top 25
Stolen Bases,Augie Galan,Chicago,23,Top 25
Total Bases,Joe Medwick,St. Louis,406,Top 25
Triples,Arky Vaughan,Pittsburgh,17,Top 25
Statistic,Name(s),Team(s),#,Top 25
