col1
"1958 National League Player Review
← 1957 | 1958 Hitting Statistics League Leaders | 1959 →"
Statistic,Name(s),Team(s),#,Top 25
Base on Balls,Richie Ashburn,Philadelphia,97,Top 25
Batting Average,Richie Ashburn,Philadelphia,.350,Top 25
Doubles,Orlando Cepeda,San Francisco,38,Top 25
Hits,Richie Ashburn,Philadelphia,215,Top 25
Home Runs,Ernie Banks,Chicago,47,Top 25
On Base Percentage,Richie Ashburn,Philadelphia,.440,Top 25
RBI,Ernie Banks,Chicago,129,Top 25
Runs,Willie Mays,San Francisco,121,Top 25
Slugging Average,Ernie Banks,Chicago,.614,Top 25
Stolen Bases,Willie Mays,San Francisco,31,Top 25
Total Bases,Ernie Banks,Chicago,379,Top 25
Triples,Richie Ashburn,Philadelphia,13,Top 25
Statistic,Name(s),Team(s),#,Top 25
1958 N.L. History | 1958 A.L. History | Year-by-Year History
