col1
"1979 National League Player Review
← 1978 | 1979 Hitting Statistics League Leaders | 1980 →"
Statistic,Name(s),Team(s),#,Top 25
Base on Balls,Mike Schmidt,Philadelphia,120,Top 25
Batting Average,Keith Hernandez,St. Louis,.344,Top 25
Doubles,Keith Hernandez,St. Louis,48,Top 25
Hits,Garry Templeton,St. Louis,211,Top 25
Home Runs,Dave Kingman,Chicago,48,Top 25
On Base Percentage,Keith Hernandez,St. Louis,.421,Top 25
RBI,Dave Winfield,San Diego,118,Top 25
Runs,Keith Hernandez,St. Louis,116,Top 25
Slugging Average,Dave Kingman,Chicago,.613,Top 25
Stolen Bases,Omar Moreno,Pittsburgh,77,Top 25
Total Bases,Dave Winfield,San Diego,333,Top 25
Triples,Garry Templeton,St. Louis,19,Top 25
Statistic,Name(s),Team(s),#,Top 25
1979 N.L. History | 1979 A.L. History | Year-by-Year History
